sample	color	PC1	PC2	PC3
PI641253	0	4.438706819	-7.7132611101	-8.1585879568
PI641254	0	4.7244601709	-8.6595689335	-8.0638435742
PI641255	0	6.2638795161	-7.0633084004	-6.1811098623
PI641256	0	5.8421843516	-7.0344264577	-6.4838182338
PI641257	0	6.7989573982	-8.2514025244	-8.3374394835
PI641258	0	5.8519433041	-7.9961627422	-6.988873755
PI641260	0	6.227863185	-6.7413602603	-7.3321977326
PI641261	0	4.9630954753	-6.9256553519	-8.0824016542
PI641262	0	5.8593485816	-7.4344098126	-7.9043405923
PI641263	0	5.7893421913	-8.0115947613	-7.8966936216
PI641264	0	5.2424868947	-6.302520615	-3.4404099338
PI641265	0	4.5247225369	-6.7723193714	-6.4895139248
PI641266	0	5.1338495135	-7.9342342632	-9.2841144732
PI641711	0	4.8711081877	-8.4780976141	-8.9483698844
PI642762	1	-0.6169465772	-7.4669231125	-11.1118231133
PI642763	1	-8.8199870658	-3.2408704415	-3.2523041826
PI642764	1	-29.5660978003	4.3871926536	-8.9579136742
PI642765	1	5.3098123328	-9.1587128347	-11.5790318736
PI643420	1	-6.7062188653	-3.5049013553	-4.8458407992
PI644099	1	10.1541727919	23.29104589	-3.633415705
PI644100	1	7.7899326918	17.8320052198	-2.6102598357
PI644101	1	-12.9629697967	1.4743318261	0.3917126513
PI644102	1	5.7607183106	12.0407348806	-1.7840849457
PI648423	1	-23.8950818008	3.4272604635	6.3127390643
PI648424	1	-27.6980972172	3.3848747951	8.4350752936
PI648426	1	-31.9999620387	3.5801089874	-10.4951448838
PI648427	1	-31.9623505997	3.7110939916	-10.4475873926
PI648428	1	-31.911216755	3.6339894574	-10.5642480627
PI648429	1	-31.9276677308	3.5580221973	-10.4600624979
PI648431	1	-31.9998671271	3.6022653475	-10.4633618132
PI648432	1	6.6064776978	-0.206305587	0.1559201991
PI648433	1	-31.9782457572	3.6586165539	-10.5179704402
PI651538	1	3.7603121062	-3.3145044313	-0.0007116553
PI651539	1	3.6434689115	-6.1647612832	15.2263106592
PI651540	1	-22.4120470586	1.1371558741	-8.0663369092
PI651541	1	-28.6629623102	3.8843502575	0.5791868034
PI651542	1	-5.5396459244	-5.1307639191	-2.8388284918
PI651543	1	5.5718774934	-0.2973776269	-0.9842744897
PI651544	1	-21.1392154368	-1.7973970481	-1.0650617717
PI651545	1	4.1027313546	-5.7524588424	-3.0408252737
PI654048	1	3.6395450887	-7.0403755434	-7.2514273163
PI654049	0	3.9244374046	-9.7804050378	-7.8936212254
PI654050	0	6.2299717082	-9.9157285963	-10.4421397052
PI654051	1	6.9236241277	-7.0571893152	-9.1463977726
PI654052	1	5.9943825844	-6.6323473407	-8.2734350959
PI654053	1	5.7626277541	-5.0284971648	-4.2227023702
PI659678	1	4.8836616857	-5.7191586592	-6.770710757
PI659679	1	-17.4113644292	1.5264654336	0.1628790036
PI659680	1	-10.1014386716	-3.0218384592	-7.0270894735
PI659681	1	-25.8904548875	1.4287867226	-7.086562386
